File,Title,Year
007-todas-las-peliculas-1080p-latino-castellano-ingles-mega.txt,Titulo: Casino Royale,1967
10-cosas-que-odio-de-ti-1080p-latino-ingles-mega.txt,Otros Titulos: 10 Things I Hate about You  |  10 razones para odiarte,1999
100-metros-1080p-castellano-mega.txt,Titulo Original: 100 metros,2016
10000-bc-1080p-latino-ingles-mega.txt,"Titulo Original: 10,000 B.C.",2008
101-dalmatas-1080p-latino-ingles-mega.txt,Titulo Original: 101 Dalmatians,1996
101-dalmatas-1961-1080p-latino-ingles-mega.txt,Otros Titulos: One Hundred and One Dalmatians (101 Dalmatians)   |  La noche de las narices frías,1961
101-dalmatas-2-1080p-latino-ingles-mega.txt,Titulo Original: 101 Dalmatians II: Patch’s London Adventure,2003
102-dalmatas-1080p-latino-ingles-mega.txt,Titulo Original: 102 Dalmatians,2000
10x10-1080p-latino-ingles-mega.txt,Titulo Original: 10×10,2018
12-hombres-en-pugna-1080p-castellano-ingles-mega.txt,Otros Titulos: 12 Angry Men  |  Doce hombres sin piedad, 1957
12-monos-1080p-latino-ingles-mega.txt,Otros Titulos: Twelve Monkeys (12 Monkeys)  | Doce Monos, 1995
12-monos-temporada-1-720p-latino-ingles-mega.txt,,2015
12-monos-temporada-2-720p-latino-ingles-mega.txt,,2016
12-monos-temporada-3-720p-latino-ingles-mega.txt,,2017
12-valientes-1080p-latino-ingles-mega.txt,Titulo Original: 12 Strong,2018
127-horas-1080p-latino-ingles-mega.txt,Titulo Original: 127 Hours,2010
13-asesinos-1080p-latino-japones-ingles-mega.txt,Titulo Original: Jûsan-nin no shikaku (13-nin no shikaku) (13 assassins),2010
13-fantasmas-1080p-latino-ingles-mega.txt,Titulo Original: Thirteen Ghosts,2001
13-guerreros-1080p-latino-ingles-mega.txt,Titulo Original: The 13th Warrior,1999
13-horas-los-soldados-secretos-de-bengasi-1080p-latino-ingles-mega.txt,,2016
13-reasons-why-temporada-1-720p-latino-ingles-mega.txt,,2017
13-reasons-why-temporada-2-720p-latino-mega.txt,,2017
13-reasons-why-temporada-3-720p-latino-ingles-mega.txt,,
13-reasons-why-temporada-4-720p-latino-ingles-mega.txt,,
1408-1080p-latino-ingles-mega.txt,Titulo Original: 1408,2007
1517-tren-a-paris-1080p-latino-ingles-mega.txt,Titulo Original: The 15:17 to Paris,2018
16-velas-1080p-latino-ingles-mega.txt,Titulo Original: Sixteen Candles, 1984
17-otra-vez-1080p-latino-ingles-mega.txt,Titulo Original: 17 Again,2009
1917-1080p-latino-ingles-mega.txt,Titulo Original: 1917,2019
2-ladrones-y-medio-1080p-latino-chino-ingles-mega.txt,Titulo Original: Bo bui gai wak (Robin B Hood),2006
20000-leguas-de-viaje-submarino-1080p-latino-ingles-mega.txt,"Titulo Original: 20,000 Leagues Under the Sea", 1954
2001-una-odisea-del-espacio-1080p-latino-ingles-mega.txt,Titulo Original: 2001: A Space Odyssey, 1968
2010-ano-hicimos-contacto-1080p-latino-ingles-mega.txt,Otros Titulos: 2010: The Year We Make Contact  |  2010: Odisea dos, 1984
2012-1080p-latino-ingles-mega.txt,Titulo Original: 2012,2009
2067-1080p-latino-ingles-mega.txt,Titulo Original: 2067,2020
21-black-jack-1080p-latino-ingles-mega.txt,Titulo Original: 21: Blackjack,2008
21-gramos-1080p-latino-ingles-mega.txt,Titulo Original: 21 Grams,2003
21-jump-street-1080p-latino-ingles-mega.txt,Otros Titulos: Infiltrados en clase  |  Comando Especial en Latinoamérica,2012
22-de-julio-1080p-latino-ingles-mega.txt,Titulo Original: 22 July  |  Norway,2018
22-jump-street-1080p-latino-ingles-mega.txt,Otros Titulos: Infiltrados en la universidad  |  Comando especial 2,2014
222-premonicion-1080p-latino-ingles-mega.txt,Titulo Original: 2:22,2017
24-horas-para-vivir-1080p-latino-ingles-mega.txt,Titulo Original: 24 Hours to Live,2017
28-dias-despues-1080p-latino-ingles-mega.txt,Titulo Original: 28 Days Later,2002
28-semanas-despues-1080p-latino-ingles-mega.txt,Titulo Original: 28 Weeks Later,2007
3-idiotas-1080p-hindi-subtitulado-mega.txt,Titulo Original: 3 Idiots,2009
30-dias-de-noche-1080p-latino-ingles-mega.txt,Otros Titulos: 30 Days of Night  |  30 días de oscuridad,2007
30-dias-de-noche-2-dias-oscuros-1080p-latino-ingles-mega.txt,Titulo Original: 30 Days of Night: Dark Days,2010
300-1080p-latino-ingles-mega.txt,Titulo original: 300,2006
300-el-origen-de-un-imperio-1080p-latino-ingles-mega.txt,Titulo original: 300: Rise of an Empire,2014
3000-millas-al-infierno-1080p-latino-ingles-mega.txt,Otros Titulos: 3000 Miles to Graceland   |  Los reyes del crimen  |  3000 millas a Graceland,2001
310-mision-peligrosa-1080p-latino-ingles-mega.txt,Otros Titulos: 3:10 to Yuma  |  El tren de las 3:10,2007
365-dni-1080p-latino-ingles-mega.txt,Otro Titulo: 365 Days,2020
4-mitades-1080p-latino-italiano-ingles-mega.txt,Otros Titulos: Quattro metà  |  Four to Dinner,2022
40-dias-y-40-noches-1080p-latino-ingles-mega.txt,Titulo Original: 40 Days and 40 Nights,2002
48-deseos-de-navidad-1080p-latino-ingles-mega.txt,Titulo Original: 48 Christmas Wishes,2017
48-horas-la-segunda-vuelta-1080p-latino-ingles-mega.txt,Otros Titulos: Another 48 Hours  |  48 horas más  |  Another 48 Hrs,1990
5-sangres-1080p-latino-ingles-mega.txt,Titulo Original: Da 5 Bloods,2020
50-50-1080p-latino-ingles-mega.txt,Titulo Original: 50/50,2011
50-sombras-de-black-1080p-latino-ingles-mega.txt,,2016
500-dias-con-ella-1080p-latino-ingles-mega.txt,Titulo Original: (500) Days of Summer,2009
55-dias-en-pekin-1080p-ingles-subtitulado-mega.txt,Titulo Original: 55 Days at Peking, 1963
6-dias-1080p-latino-ingles-mega.txt,Titulo Original: 6 Days,2017
6-globos-1080p-latino-ingles-mega.txt,Titulo Original: 6 Balloons,2018
60-segundos-1080p-latino-ingles-mega.txt,,2000
68-kill-1080p-latino-ingles-mega.txt,Titulo Original: 68 Kill,2017
7-prisioneros-1080p-latino-portugues-ingles-mega.txt,Titulo Original: 7 Prisioneiros,2021
7-seeds-temporada-2-1080p-latino.txt,,
70-minutos-para-huir-1080p.txt,Titulo Original: Miracle Mile,1988
71-1080p-latino-ingles-mega.txt,,2014
7500-avion-secuestrado-1080p-latino-ingles-mega.txt,Titulo Original: 7500,2019
7seeds-temporada-1-720p-latino-japones-mega.txt,,
8-mile-1080p-latino-ingles-mega.txt,Otro Titulo: 8 millas,2002
8mm-1080p-latino-ingles-mega.txt,Otro Titulo: Asesinato en 8mm, 1999
9-semanas-media-1080p-latino-ingles-mega.txt,, 1986
99-homes-1080p-latino-ingles-mega.txt,Titulo Original: 99 Homes,2014
a-christmas-horror-story-1080p-ingles-subtitulado-mega.txt,Titulo Original: A Christmas Horror Story,2015
a-ciegas-1080p-latino-ingles-mega.txt,Titulo Original: Bird Box,2018
a-d-la-biblia-continua-dvd-full-latino-ingles-mega.txt,,2015
a-day-1080p-latino-coreano-mega.txt,Titulo Original: Ha-roo,2017
a-dos-metros-de-ti-1080p-latino.txt,Titulo Original: Five Feet Apart,2019
a-ganar-1080p-latino-ingles-mega.txt,Titulo Original: The Miracle Season,2018
